Species_code,Log2_Body_size,Volume,SV,MLD,Flagella,Silice,Mucilage,Aerotopes,MBFG,Biovolume,Category
84,10,1237,0.6,24.7,0,1,0,0,VI,13339.7,DS
85,11,2353.84,0.5,37,0,1,0,0,VI,28.44,DS
86,10,1357.17,0.6,27,0,1,0,0,VI,953.41,DS
87,13,7861.84,0.3,55,0,1,0,0,VI,2250.46,DS
88,11,1696.46,0.5,30,0,1,0,0,VI,1267.26,DS
89,8,348.72,1.2,37,0,1,0,0,VI,164.77,DS
90,10,753.98,0.7,19.6,0,1,0,0,VI,83.19,DS
91,7,94.25,1.3,8,0,1,0,0,VI,39.58,DS
92,10,1005.31,0.6,20,0,1,0,0,VI,1531.54,DS
93,10,824.67,0.8,29.7,0,1,0,0,VI,0,DS
94,7,115.2,1.9,16,0,0,0,0,IV,17.38,DS
95,9,388.75,1.2,25,0,0,0,0,IV,7.83,DS
96,9,578.58,2,37.5,0,0,0,0,IV,29.61,DS
97,6,65.45,1.2,5,0,0,0,0,IV,492.69,DS
98,6,46.77,1.34,4.47,0,0,0,0,IV,247.2,DS
99,6,87.11,1.1,5.5,0,0,0,0,IV,48.78,DS
100,13,8181.23,0.2,25,0,0,0,0,IV,9263.69,DS
101,8,217.8,1,6.05,0,0,0,0,IV,7.71,DS
102,8,198,1,5.5,0,0,0,0,IV,0,DS
103,10,1139.04,0.6,13.56,0,0,0,0,IV,460.31,DS
104,8,188.5,1.6,9.6,0,0,0,0,IV,150.25,DS
105,8,301.59,1.3,8.6,0,0,0,0,IV,263.1,DS
106,9,469.14,1.2,14.4,0,0,0,0,IV,464.73,DS
107,7,113.1,1.7,5.9,0,0,0,0,IV,67.41,DS
108,7,94.25,1.76,5,0,0,0,0,IV,30.33,DS
109,9,418.88,1.1,8,0,0,0,0,IV,0,DS
110,7,112.25,1.7,3.5,0,0,1,0,VII,91.31,DS
111,3,6.54,2.8,4,0,0,0,0,I,2.42,DS
112,4,14.84,3.4,17.5,0,0,0,0,I,79.76,DS
113,3,7.74,4.6,17.5,0,0,0,0,I,78.88,DS
114,3,9.33,3.4,11,0,0,0,0,I,7.82,DS
115,5,23.56,4,40,0,0,0,0,IV,47.53,DS
116,4,18.85,2.1,8,0,0,0,0,I,69.75,DS
117,9,384.85,0.7,15,0,0,0,0,IV,1100.68,DS
118,7,150.8,0.9,8.2,0,0,0,0,IV,59.94,DS
119,10,1140.4,0.5,18.3,0,0,0,0,IV,3076.9,DS
120,10,1415.81,0.4,15.7,0,0,0,0,IV,242.4,DS
121,12,5717.7,0.9,56,0,0,0,0,IV,75.71,DS
122,12,3518.58,1.3,50,0,0,0,0,IV,514.26,DS
123,8,301.59,1.3,8.9,0,0,0,0,IV,10.18,DS
124,8,234.57,1.2,13.5,0,0,0,0,IV,20.04,DS
125,10,829.38,0.9,10.6,0,0,0,0,IV,52.24,DS
126,6,50.27,2.5,5.97,0,0,0,0,IV,2.54,DS
127,6,69.46,1.2,5.1,0,0,0,0,IV,1355.19,DS
128,8,212.17,0.8,7.4,0,0,0,0,IV,1909.7,DS
129,5,33.51,1.5,4,0,0,0,0,IV,12.37,DS
130,6,47.4,1.34,4.49,0,0,0,0,IV,20.14,DS
131,8,235.62,1.1,51.18,0,0,1,0,VII,114.18,DS
132,11,2822.2,0.8,15,0,0,1,0,VII,973.85,DS
133,8,293.22,1.3,17,0,0,1,0,VII,505.55,DS
134,10,785.4,0.5,14.7,1,0,0,0,V,2111.91,DS
135,9,551.35,0.6,12.8,1,0,0,0,V,503.2,DS
